Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Свет,Оборудование,Светодиодная голова,Прибор полного вращения LED WASH 19x15 RGBW ZOOM L4M,4 кейса по 4 1 труп,19x15 L4M,LGT_EQP_LED_19x15 L4M,4,,,,,,
Свет,Оборудование,Светодиодная голова,Прибор полного вращения LED WASH 19x15 RGBW ZOOM NEW,3 кейса по 4 в одном (17-20) труп,19x15 NEW,LGT_EQP_LED_19x15 NEW,3,,,,,,
Свет,Оборудование,Светодиодная голова,Прибор полного вращения LED WASH SPL-1940B B-EYE,,SPL-1940B,LGT_EQP_LED_SPL-1940B,4,20,,,,,
Свет,Оборудование,Светодиодная голова,Прибор полного вращения LED WASH SPL-1940BW В-EYE IP,,SPL-1940BW,LGT_EQP_LED_SPL-1940BW,36,25,,,,,
Свет,Оборудование,Светодиодная голова,Прибор полного вращения LED WASH SPL-740B B-EYE,,SPL-740B,LGT_EQP_LED_SPL-740B,52,10,,,,,
Свет,Оборудование,Ламповая голова,Прибор полного вращения LIGHT SKY BEAM MINI LUNAR,,MINI LUNAR,LGT_EQP_LHD_MINI LUNAR,24,20,,,,,
Свет,Оборудование,Следящий прожектор,Прожектор следящего света FOLLOWSPOT HMI1200,кейс,FOLOWSPOT,LGT_EQP_MHS_FOLOWSPOT,2,15,,,,,
Свет,Оборудование,Ламовый прожектор,Прожектор SunStrip Active 10x50W Lamp (по 2),,SUNSTRIP,LGT_EQP_LMP_SUNSTRIP,5,,,,,,
Свет,Стойка,,"Световая стойка 3м + ""T-бар""",,T-BAR,LGT_STAND_T-BAR,12,"2,5",,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодная полоса EVOLIGHTS PIXELBAR 1010 RGBW,,PIXEL1010,LGT_EQP_LPR_PIXEL1010,23,5,,,,,
Свет,Оборудование,Светодиодный прожектор,Светодиодная полоса PIXELBAR 80 35in,,PIXEL80,LGT_EQP_LPR_PIXEL80,1,,,,,,
